idhh	idperson	idorighh	idorigperson	idpartner	idmother	idfather	dct	drgn1	drgn2	dwt	drgur	dag	dgn	dms	dec	deh	dey	les	yem	yse	dra	yiy	ypt	yprrt	poa	bot_s	bfa02_s	bdioa_s	bchmt_s	bun_s	tin_s	tscee_s	tscse_s	tscot_s	tscer_s	ils_dispy	ils_origy	ils_earns	ils_benmt	ils_bennt	ils_ben	ils_bensim	ils_tax	ils_taxsim	ils_sicdy	ils_sicer	ils_sicee	ils_sicse	ils_pen	ils_b1_bun	ils_b2_bfaed	ils_b2_bsaho	ils_b2_penhl	sid_h
4	403	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
4	404	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
4	405	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
4	406	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
4	407	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
5	501	0	0	502	503	504	0	0	0	1	0	37	1	2	0	2	0	3	30	0	0	0	0	0	0	0	0	0	112,94	0	0	0	0	0	0	142,94	30	30	112,94	0	112,94	112,94	0	0	0	0	0	0	0	0	112,94	0	0	1613066279
5	502	0	0	501	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
5	503	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
5	504	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
5	505	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
5	506	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
5	507	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
6	601	0	0	602	603	604	0	0	0	1	0	37	1	2	0	2	0	3	40	0	0	0	0	0	0	0	0	0	112,94	0	0	0	0	0	0	152,94	40	40	112,94	0	112,94	112,94	0	0	0	0	0	0	0	0	112,94	0	0	1613066279
6	602	0	0	601	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
6	603	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
6	604	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
6	605	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
6	606	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
6	607	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
7	701	0	0	702	703	704	0	0	0	1	0	37	1	2	0	2	0	3	50	0	0	0	0	0	0	0	0	0	112,94	0	0	0	0	0	0	162,94	50	50	112,94	0	112,94	112,94	0	0	0	0	0	0	0	0	112,94	0	0	1613066279
7	702	0	0	701	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
7	703	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
7	704	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
7	705	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
7	706	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
7	707	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
8	801	0	0	802	803	804	0	0	0	1	0	37	1	2	0	2	0	3	60	0	0	0	0	0	0	0	0	0	112,94	0	0	0	0	0	0	172,94	60	60	112,94	0	112,94	112,94	0	0	0	0	0	0	0	0	112,94	0	0	1613066279
8	802	0	0	801	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
8	803	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
8	804	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
8	805	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
8	806	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
8	807	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
9	901	0	0	902	903	904	0	0	0	1	0	37	1	2	0	2	0	3	70	0	0	0	0	0	0	0	0	0	112,94	0	0	0	0	0	0	182,94	70	70	112,94	0	112,94	112,94	0	0	0	0	0	0	0	0	112,94	0	0	1613066279
9	902	0	0	901	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
9	903	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
9	904	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
9	905	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
9	906	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
9	907	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
10	1001	0	0	1002	1003	1004	0	0	0	1	0	37	1	2	0	2	0	3	80	0	0	0	0	0	0	0	0	0	112,94	0	0	0	0	0	0	192,94	80	80	112,94	0	112,94	112,94	0	0	0	0	0	0	0	0	112,94	0	0	1613066279
10	1002	0	0	1001	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
10	1003	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
10	1004	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
10	1005	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
10	1006	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
10	1007	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
11	1101	0	0	1102	1103	1104	0	0	0	1	0	37	1	2	0	2	0	3	90	0	0	0	0	0	0	0	0	0	112,94	0	0	0	0	0	0	202,94	90	90	112,94	0	112,94	112,94	0	0	0	0	0	0	0	0	112,94	0	0	1613066279
11	1102	0	0	1101	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
11	1103	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
11	1104	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
11	1105	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
11	1106	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
11	1107	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
12	1201	0	0	1202	1203	1204	0	0	0	1	0	37	1	2	0	2	0	3	100	0	0	0	0	0	0	0	0	0	112,94	0	0	0	0	0	0	212,94	100	100	112,94	0	112,94	112,94	0	0	0	0	0	0	0	0	112,94	0	0	1613066279
12	1202	0	0	1201	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
12	1203	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
12	1204	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
12	1205	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
12	1206	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
12	1207	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
13	1301	0	0	1302	1303	1304	0	0	0	1	0	37	1	2	0	2	0	3	110	0	0	0	0	0	0	0	0	0	112,94	0	0	0	0	0	0	222,94	110	110	112,94	0	112,94	112,94	0	0	0	0	0	0	0	0	112,94	0	0	1613066279
13	1302	0	0	1301	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
13	1303	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
13	1304	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
13	1305	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
13	1306	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
13	1307	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
14	1401	0	0	1402	1403	1404	0	0	0	1	0	37	1	2	0	2	0	3	120	0	0	0	0	0	0	0	0	0	112,94	0	0	0	0	0	0	232,94	120	120	112,94	0	112,94	112,94	0	0	0	0	0	0	0	0	112,94	0	0	1613066279
14	1402	0	0	1401	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
14	1403	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
14	1404	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
14	1405	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
14	1406	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
14	1407	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
15	1501	0	0	1502	1503	1504	0	0	0	1	0	37	1	2	0	2	0	3	130	0	0	0	0	0	0	0	0	0	112,94	0	0	0	0	0	0	242,94	130	130	112,94	0	112,94	112,94	0	0	0	0	0	0	0	0	112,94	0	0	1613066279
15	1502	0	0	1501	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
15	1503	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
15	1504	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
15	1505	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
15	1506	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
15	1507	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
16	1601	0	0	1602	1603	1604	0	0	0	1	0	37	1	2	0	2	0	3	140	0	0	0	0	0	0	0	0	0	112,94	0	0	0	0	0	0	252,94	140	140	112,94	0	112,94	112,94	0	0	0	0	0	0	0	0	112,94	0	0	1613066279
16	1602	0	0	1601	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
16	1603	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
16	1604	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
16	1605	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
16	1606	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
16	1607	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
17	1701	0	0	1702	1703	1704	0	0	0	1	0	37	1	2	0	2	0	3	150	0	0	0	0	0	0	0	0	0	112,94	0	0	0	0	0	0	262,94	150	150	112,94	0	112,94	112,94	0	0	0	0	0	0	0	0	112,94	0	0	1613066279
17	1702	0	0	1701	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
17	1703	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
17	1704	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
17	1705	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
