idhh	idperson	idorighh	idorigperson	idpartner	idmother	idfather	dct	drgn1	drgn2	dwt	drgur	dag	dgn	dms	dec	deh	dey	les	yem	yse	dra	yiy	ypt	yprrt	poa	bot_s	bfa01_s	bfa02_s	bdioa_s	bchmt_s	bun_s	tin_s	tscee_s	tscse_s	tscot_s	tscer_s	ils_dispy	ils_origy	ils_earns	ils_benmt	ils_bennt	ils_ben	ils_bensim	ils_tax	ils_taxsim	ils_sicdy	ils_sicer	ils_sicee	ils_sicse	ils_pen	ils_b1_bun	ils_b2_bfaed	ils_b2_bsaho	ils_b2_penhl	sid_h
7	703	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
7	704	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
7	705	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
7	706	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
7	707	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
8	801	0	0	802	803	804	0	0	0	1	0	37	1	2	0	2	0	3	70	0	0	0	0	0	0	37,5	0	0	0	102,54	0	0	0	0	0	0	210,04	70	70	140,04	0	140,04	140,04	0	0	0	0	0	0	0	0	102,54	37,5	0	1613066279
8	802	0	0	801	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	37,5	0	0	0	0	0	0	0	0	0	0	37,5	0	0	37,5	0	37,5	37,5	0	0	0	0	0	0	0	0	0	37,5	0	1613066279
8	803	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
8	804	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
8	805	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
8	806	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
8	807	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
9	901	0	0	902	903	904	0	0	0	1	0	37	1	2	0	2	0	3	80	0	0	0	0	0	0	37,5	0	0	0	102,54	0	0	0	0	0	0	220,04	80	80	140,04	0	140,04	140,04	0	0	0	0	0	0	0	0	102,54	37,5	0	1613066279
9	902	0	0	901	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	37,5	0	0	0	0	0	0	0	0	0	0	37,5	0	0	37,5	0	37,5	37,5	0	0	0	0	0	0	0	0	0	37,5	0	1613066279
9	903	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
9	904	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
9	905	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
9	906	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
9	907	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
10	1001	0	0	1002	1003	1004	0	0	0	1	0	37	1	2	0	2	0	3	90	0	0	0	0	0	0	37,5	0	0	0	102,54	0	0	0	0	0	0	230,04	90	90	140,04	0	140,04	140,04	0	0	0	0	0	0	0	0	102,54	37,5	0	1613066279
10	1002	0	0	1001	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	37,5	0	0	0	0	0	0	0	0	0	0	37,5	0	0	37,5	0	37,5	37,5	0	0	0	0	0	0	0	0	0	37,5	0	1613066279
10	1003	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
10	1004	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
10	1005	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
10	1006	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
10	1007	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
11	1101	0	0	1102	1103	1104	0	0	0	1	0	37	1	2	0	2	0	3	100	0	0	0	0	0	0	37,5	0	0	0	102,54	0	0	0	0	0	0	240,04	100	100	140,04	0	140,04	140,04	0	0	0	0	0	0	0	0	102,54	37,5	0	1613066279
11	1102	0	0	1101	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	37,5	0	0	0	0	0	0	0	0	0	0	37,5	0	0	37,5	0	37,5	37,5	0	0	0	0	0	0	0	0	0	37,5	0	1613066279
11	1103	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
11	1104	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
11	1105	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
11	1106	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
11	1107	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
12	1201	0	0	1202	1203	1204	0	0	0	1	0	37	1	2	0	2	0	3	110	0	0	0	0	0	0	37,5	0	0	0	102,54	0	0	0	0	0	0	250,04	110	110	140,04	0	140,04	140,04	0	0	0	0	0	0	0	0	102,54	37,5	0	1613066279
12	1202	0	0	1201	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	37,5	0	0	0	0	0	0	0	0	0	0	37,5	0	0	37,5	0	37,5	37,5	0	0	0	0	0	0	0	0	0	37,5	0	1613066279
12	1203	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
12	1204	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
12	1205	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
12	1206	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
12	1207	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
13	1301	0	0	1302	1303	1304	0	0	0	1	0	37	1	2	0	2	0	3	120	0	0	0	0	0	0	37,5	0	0	0	102,54	0	0	0	0	0	0	260,04	120	120	140,04	0	140,04	140,04	0	0	0	0	0	0	0	0	102,54	37,5	0	1613066279
13	1302	0	0	1301	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	37,5	0	0	0	0	0	0	0	0	0	0	37,5	0	0	37,5	0	37,5	37,5	0	0	0	0	0	0	0	0	0	37,5	0	1613066279
13	1303	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
13	1304	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
13	1305	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
13	1306	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
13	1307	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
14	1401	0	0	1402	1403	1404	0	0	0	1	0	37	1	2	0	2	0	3	130	0	0	0	0	0	0	37,5	0	0	0	102,54	0	0	0	0	0	0	270,04	130	130	140,04	0	140,04	140,04	0	0	0	0	0	0	0	0	102,54	37,5	0	1613066279
14	1402	0	0	1401	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	37,5	0	0	0	0	0	0	0	0	0	0	37,5	0	0	37,5	0	37,5	37,5	0	0	0	0	0	0	0	0	0	37,5	0	1613066279
14	1403	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
14	1404	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
14	1405	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
14	1406	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
14	1407	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
15	1501	0	0	1502	1503	1504	0	0	0	1	0	37	1	2	0	2	0	3	140	0	0	0	0	0	0	37,5	0	0	0	102,54	0	0	0	0	0	0	280,04	140	140	140,04	0	140,04	140,04	0	0	0	0	0	0	0	0	102,54	37,5	0	1613066279
15	1502	0	0	1501	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	37,5	0	0	0	0	0	0	0	0	0	0	37,5	0	0	37,5	0	37,5	37,5	0	0	0	0	0	0	0	0	0	37,5	0	1613066279
15	1503	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
15	1504	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
15	1505	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
15	1506	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
15	1507	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
16	1601	0	0	1602	1603	1604	0	0	0	1	0	37	1	2	0	2	0	3	150	0	0	0	0	0	0	37,5	0	0	0	102,54	0	0	0	0	0	0	290,04	150	150	140,04	0	140,04	140,04	0	0	0	0	0	0	0	0	102,54	37,5	0	1613066279
16	1602	0	0	1601	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	37,5	0	0	0	0	0	0	0	0	0	0	37,5	0	0	37,5	0	37,5	37,5	0	0	0	0	0	0	0	0	0	37,5	0	1613066279
